Time,url
2012-03-05 00:06:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__00_06_06_268__SOHO_LASCO_C3_white-light.jp2
2012-03-05 00:18:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__00_18_06_459__SOHO_LASCO_C3_white-light.jp2
2012-03-05 00:30:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__00_30_07_251__SOHO_LASCO_C3_white-light.jp2
2012-03-05 00:42:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__00_42_05_443__SOHO_LASCO_C3_white-light.jp2
2012-03-05 00:54:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__00_54_06_234__SOHO_LASCO_C3_white-light.jp2
2012-03-05 01:30:25+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__01_30_24_710__SOHO_LASCO_C3_white-light.jp2
2012-03-05 01:42:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__01_42_07_202__SOHO_LASCO_C3_white-light.jp2
2012-03-05 01:54:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__01_54_05_494__SOHO_LASCO_C3_white-light.jp2
2012-03-05 02:06:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__02_06_06_985__SOHO_LASCO_C3_white-light.jp2
2012-03-05 02:18:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__02_18_06_577__SOHO_LASCO_C3_white-light.jp2
2012-03-05 02:30:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__02_30_05_969__SOHO_LASCO_C3_white-light.jp2
2012-03-05 02:42:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__02_42_05_460__SOHO_LASCO_C3_white-light.jp2
2012-03-05 03:06:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__03_06_05_844__SOHO_LASCO_C3_white-light.jp2
2012-03-05 03:18:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__03_18_05_436__SOHO_LASCO_C3_white-light.jp2
2012-03-05 03:30:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__03_30_05_427__SOHO_LASCO_C3_white-light.jp2
2012-03-05 03:42:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__03_42_07_219__SOHO_LASCO_C3_white-light.jp2
2012-03-05 03:54:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__03_54_05_411__SOHO_LASCO_C3_white-light.jp2
2012-03-05 04:06:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__04_06_05_402__SOHO_LASCO_C3_white-light.jp2
2012-03-05 04:18:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__04_18_06_595__SOHO_LASCO_C3_white-light.jp2
2012-03-05 04:30:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__04_30_05_386__SOHO_LASCO_C3_white-light.jp2
2012-03-05 04:42:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__04_42_05_478__SOHO_LASCO_C3_white-light.jp2
2012-03-05 04:54:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__04_54_05_470__SOHO_LASCO_C3_white-light.jp2
2012-03-05 05:06:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__05_06_05_561__SOHO_LASCO_C3_white-light.jp2
2012-03-05 05:18:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__05_18_05_453__SOHO_LASCO_C3_white-light.jp2
2012-03-05 05:30:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__05_30_06_745__SOHO_LASCO_C3_white-light.jp2
2012-03-05 05:42:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__05_42_05_436__SOHO_LASCO_C3_white-light.jp2
2012-03-05 05:54:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__05_54_06_728__SOHO_LASCO_C3_white-light.jp2
2012-03-05 06:06:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__06_06_05_420__SOHO_LASCO_C3_white-light.jp2
2012-03-05 06:18:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__06_18_06_711__SOHO_LASCO_C3_white-light.jp2
2012-03-05 06:30:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__06_30_06_604__SOHO_LASCO_C3_white-light.jp2
2012-03-05 06:42:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__06_42_05_395__SOHO_LASCO_C3_white-light.jp2
2012-03-05 06:54:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__06_54_06_187__SOHO_LASCO_C3_white-light.jp2
2012-03-05 07:06:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__07_06_06_478__SOHO_LASCO_C3_white-light.jp2
2012-03-05 07:18:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__07_18_06_570__SOHO_LASCO_C3_white-light.jp2
2012-03-05 07:30:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__07_30_05_461__SOHO_LASCO_C3_white-light.jp2
2012-03-05 07:42:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__07_42_06_554__SOHO_LASCO_C3_white-light.jp2
2012-03-05 07:54:08+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__07_54_07_646__SOHO_LASCO_C3_white-light.jp2
2012-03-05 08:06:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__08_06_05_437__SOHO_LASCO_C3_white-light.jp2
2012-03-05 08:18:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__08_18_05_729__SOHO_LASCO_C3_white-light.jp2
2012-03-05 08:30:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__08_30_06_120__SOHO_LASCO_C3_white-light.jp2
2012-03-05 08:42:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__08_42_05_412__SOHO_LASCO_C3_white-light.jp2
2012-03-05 09:06:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__09_06_05_901__SOHO_LASCO_C3_white-light.jp2
2012-03-05 09:18:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__09_18_05_388__SOHO_LASCO_C3_white-light.jp2
2012-03-05 09:30:08+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__09_30_07_579__SOHO_LASCO_C3_white-light.jp2
2012-03-05 09:42:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__09_42_05_471__SOHO_LASCO_C3_white-light.jp2
2012-03-05 09:54:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__09_54_06_263__SOHO_LASCO_C3_white-light.jp2
2012-03-05 10:06:08+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__10_06_07_654__SOHO_LASCO_C3_white-light.jp2
2012-03-05 10:18:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__10_18_05_546__SOHO_LASCO_C3_white-light.jp2
2012-03-05 10:30:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__10_30_05_438__SOHO_LASCO_C3_white-light.jp2
2012-03-05 10:42:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__10_42_05_729__SOHO_LASCO_C3_white-light.jp2
2012-03-05 10:54:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__10_54_06_221__SOHO_LASCO_C3_white-light.jp2
2012-03-05 11:06:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__11_06_05_513__SOHO_LASCO_C3_white-light.jp2
2012-03-05 11:18:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__11_18_05_505__SOHO_LASCO_C3_white-light.jp2
2012-03-05 11:30:08+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__11_30_07_596__SOHO_LASCO_C3_white-light.jp2
2012-03-05 11:42:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__11_42_05_388__SOHO_LASCO_C3_white-light.jp2
2012-03-05 11:54:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__11_54_06_379__SOHO_LASCO_C3_white-light.jp2
2012-03-05 12:06:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__12_06_05_472__SOHO_LASCO_C3_white-light.jp2
2012-03-05 12:18:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__12_18_06_563__SOHO_LASCO_C3_white-light.jp2
2012-03-05 12:30:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__12_30_07_155__SOHO_LASCO_C3_white-light.jp2
2012-03-05 12:42:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__12_42_05_446__SOHO_LASCO_C3_white-light.jp2
2012-03-05 12:54:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__12_54_06_138__SOHO_LASCO_C3_white-light.jp2
2012-03-05 13:30:24+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__13_30_24_414__SOHO_LASCO_C3_white-light.jp2
2012-03-05 13:42:08+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__13_42_07_605__SOHO_LASCO_C3_white-light.jp2
2012-03-05 13:54:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__13_54_05_497__SOHO_LASCO_C3_white-light.jp2
2012-03-05 14:06:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__14_06_05_589__SOHO_LASCO_C3_white-light.jp2
2012-03-05 14:18:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__14_18_06_580__SOHO_LASCO_C3_white-light.jp2
2012-03-05 14:30:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__14_30_05_472__SOHO_LASCO_C3_white-light.jp2
2012-03-05 14:42:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__14_42_05_463__SOHO_LASCO_C3_white-light.jp2
2012-03-05 15:06:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__15_06_06_248__SOHO_LASCO_C3_white-light.jp2
2012-03-05 15:18:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__15_18_05_439__SOHO_LASCO_C3_white-light.jp2
2012-03-05 15:30:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__15_30_05_631__SOHO_LASCO_C3_white-light.jp2
2012-03-05 15:42:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__15_42_06_723__SOHO_LASCO_C3_white-light.jp2
2012-03-05 15:54:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__15_54_07_215__SOHO_LASCO_C3_white-light.jp2
2012-03-05 16:06:08+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__16_06_07_606__SOHO_LASCO_C3_white-light.jp2
2012-03-05 16:18:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__16_18_05_499__SOHO_LASCO_C3_white-light.jp2
2012-03-05 16:30:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__16_30_05_390__SOHO_LASCO_C3_white-light.jp2
2012-03-05 16:42:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__16_42_05_382__SOHO_LASCO_C3_white-light.jp2
2012-03-05 16:54:08+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__16_54_07_573__SOHO_LASCO_C3_white-light.jp2
2012-03-05 17:06:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__17_06_05_565__SOHO_LASCO_C3_white-light.jp2
2012-03-05 17:18:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__17_18_05_457__SOHO_LASCO_C3_white-light.jp2
2012-03-05 17:30:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__17_30_05_849__SOHO_LASCO_C3_white-light.jp2
