Time,Kp_observed
2012-03-05 00:00:00+00:00,2.0
2012-03-05 03:00:00+00:00,2.0
2012-03-05 06:00:00+00:00,2.0
2012-03-05 09:00:00+00:00,2.0
2012-03-05 12:00:00+00:00,1.0
2012-03-05 15:00:00+00:00,2.0
2012-03-05 18:00:00+00:00,2.0
2012-03-05 21:00:00+00:00,3.0
2012-03-06 00:00:00+00:00,2.0
2012-03-06 03:00:00+00:00,2.0
2012-03-06 06:00:00+00:00,3.0
2012-03-06 09:00:00+00:00,1.0
2012-03-06 12:00:00+00:00,2.0
2012-03-06 15:00:00+00:00,2.0
2012-03-06 18:00:00+00:00,2.0
2012-03-06 21:00:00+00:00,2.0
2012-03-07 00:00:00+00:00,3.0
2012-03-07 03:00:00+00:00,4.0
2012-03-07 06:00:00+00:00,6.0
2012-03-07 09:00:00+00:00,5.0
2012-03-07 12:00:00+00:00,6.0
2012-03-07 15:00:00+00:00,5.0
2012-03-07 18:00:00+00:00,4.0
2012-03-07 21:00:00+00:00,3.0
