Time,ProtonDensity,IonTemperature
2012-03-05 00:00:00+00:00,3.6,52900.0
2012-03-05 00:01:00+00:00,5.2,85800.0
2012-03-05 00:02:00+00:00,3.8,53900.0
2012-03-05 00:03:00+00:00,3.5,45000.0
2012-03-05 00:04:00+00:00,-9999.9,-100000.0
2012-03-05 00:05:00+00:00,5.1,92300.0
2012-03-05 00:06:00+00:00,-9999.9,-100000.0
2012-03-05 00:07:00+00:00,-9999.9,-100000.0
2012-03-05 00:08:00+00:00,-9999.9,-100000.0
2012-03-05 00:09:00+00:00,4.7,74500.0
2012-03-05 00:10:00+00:00,3.8,51300.0
2012-03-05 00:11:00+00:00,4.3,56500.0
2012-03-05 00:12:00+00:00,4.4,61900.0
2012-03-05 00:13:00+00:00,3.8,43600.0
2012-03-05 00:14:00+00:00,3.1,33900.0
2012-03-05 00:15:00+00:00,3.5,34900.0
2012-03-05 00:16:00+00:00,3.3,37100.0
2012-03-05 00:17:00+00:00,3.9,40400.0
2012-03-05 00:18:00+00:00,2.8,25900.0
2012-03-05 00:19:00+00:00,3.5,37500.0
2012-03-05 00:20:00+00:00,-9999.9,-100000.0
2012-03-05 00:21:00+00:00,4.3,62800.0
2012-03-05 00:22:00+00:00,4.0,54700.0
2012-03-05 00:23:00+00:00,3.9,47500.0
2012-03-05 00:24:00+00:00,4.0,44100.0
2012-03-05 00:25:00+00:00,4.1,52800.0
2012-03-05 00:26:00+00:00,3.8,40200.0
2012-03-05 00:27:00+00:00,3.7,-100000.0
2012-03-05 00:28:00+00:00,3.1,29100.0
2012-03-05 00:29:00+00:00,3.8,41700.0
2012-03-05 00:30:00+00:00,4.3,64600.0
2012-03-05 00:31:00+00:00,4.1,86200.0
2012-03-05 00:32:00+00:00,2.7,42200.0
2012-03-05 00:33:00+00:00,2.3,23100.0
2012-03-05 00:34:00+00:00,2.4,33200.0
2012-03-05 00:35:00+00:00,3.0,37100.0
2012-03-05 00:36:00+00:00,-9999.9,-100000.0
2012-03-05 00:37:00+00:00,3.0,32400.0
2012-03-05 00:38:00+00:00,1.8,17400.0
2012-03-05 00:39:00+00:00,-9999.9,-100000.0
2012-03-05 00:40:00+00:00,-9999.9,-100000.0
2012-03-05 00:41:00+00:00,3.6,55400.0
2012-03-05 00:42:00+00:00,3.0,32500.0
2012-03-05 00:43:00+00:00,2.9,29900.0
2012-03-05 00:44:00+00:00,3.0,43700.0
2012-03-05 00:45:00+00:00,2.8,38100.0
2012-03-05 00:46:00+00:00,2.1,24700.0
2012-03-05 00:47:00+00:00,2.7,29400.0
2012-03-05 00:48:00+00:00,3.2,37400.0
2012-03-05 00:49:00+00:00,2.9,32300.0
2012-03-05 00:50:00+00:00,3.3,36400.0
2012-03-05 00:51:00+00:00,3.3,37700.0
2012-03-05 00:52:00+00:00,-9999.9,-100000.0
2012-03-05 00:53:00+00:00,3.0,28700.0
2012-03-05 00:54:00+00:00,2.9,35300.0
2012-03-05 00:55:00+00:00,3.4,34300.0
2012-03-05 00:56:00+00:00,3.3,40000.0
2012-03-05 00:57:00+00:00,1.9,24800.0
2012-03-05 00:58:00+00:00,2.8,35400.0
2012-03-05 00:59:00+00:00,3.4,54500.0
2012-03-05 01:00:00+00:00,3.3,61700.0
2012-03-05 01:01:00+00:00,3.0,35700.0
2012-03-05 01:02:00+00:00,2.3,23200.0
2012-03-05 01:03:00+00:00,2.8,32100.0
2012-03-05 01:04:00+00:00,3.3,37200.0
2012-03-05 01:05:00+00:00,3.7,49500.0
2012-03-05 01:06:00+00:00,3.7,43400.0
2012-03-05 01:07:00+00:00,3.3,38200.0
2012-03-05 01:08:00+00:00,-9999.9,-100000.0
2012-03-05 01:09:00+00:00,3.3,40300.0
2012-03-05 01:10:00+00:00,3.5,47100.0
2012-03-05 01:11:00+00:00,3.0,36500.0
2012-03-05 01:12:00+00:00,-9999.9,-100000.0
2012-03-05 01:13:00+00:00,-9999.9,-100000.0
2012-03-05 01:14:00+00:00,3.5,40500.0
2012-03-05 01:15:00+00:00,4.5,66700.0
2012-03-05 01:16:00+00:00,3.7,21000.0
2012-03-05 01:17:00+00:00,3.6,36400.0
2012-03-05 01:18:00+00:00,4.3,77000.0
2012-03-05 01:19:00+00:00,4.3,72200.0
2012-03-05 01:20:00+00:00,4.1,44700.0
2012-03-05 01:21:00+00:00,2.8,25400.0
2012-03-05 01:22:00+00:00,3.7,47600.0
2012-03-05 01:23:00+00:00,3.4,39500.0
2012-03-05 01:24:00+00:00,-9999.9,-100000.0
2012-03-05 01:25:00+00:00,3.6,37800.0
2012-03-05 01:26:00+00:00,3.2,28500.0
2012-03-05 01:27:00+00:00,3.2,37600.0
2012-03-05 01:28:00+00:00,3.5,46900.0
2012-03-05 01:29:00+00:00,3.4,49500.0
2012-03-05 01:30:00+00:00,3.2,38500.0
2012-03-05 01:31:00+00:00,3.2,34300.0
2012-03-05 01:32:00+00:00,3.3,35200.0
2012-03-05 01:33:00+00:00,3.4,39200.0
2012-03-05 01:34:00+00:00,4.0,50100.0
2012-03-05 01:35:00+00:00,3.2,26500.0
2012-03-05 01:36:00+00:00,3.4,42900.0
2012-03-05 01:37:00+00:00,4.1,60100.0
2012-03-05 01:38:00+00:00,4.1,67900.0
2012-03-05 01:39:00+00:00,3.5,38700.0
2012-03-05 01:40:00+00:00,-9999.9,-100000.0
2012-03-05 01:41:00+00:00,2.3,21800.0
2012-03-05 01:42:00+00:00,3.5,32700.0
2012-03-05 01:43:00+00:00,3.3,43900.0
2012-03-05 01:44:00+00:00,3.4,40500.0
2012-03-05 01:45:00+00:00,-9999.9,-100000.0
2012-03-05 01:46:00+00:00,-9999.9,-100000.0
2012-03-05 01:47:00+00:00,-9999.9,-100000.0
2012-03-05 01:48:00+00:00,3.8,64000.0
2012-03-05 01:49:00+00:00,3.4,36100.0
2012-03-05 01:50:00+00:00,3.1,34100.0
2012-03-05 01:51:00+00:00,2.9,19100.0
2012-03-05 01:52:00+00:00,3.6,35800.0
2012-03-05 01:53:00+00:00,4.0,59300.0
2012-03-05 01:54:00+00:00,3.4,37600.0
2012-03-05 01:55:00+00:00,2.9,46800.0
2012-03-05 01:56:00+00:00,-9999.9,-100000.0
2012-03-05 01:57:00+00:00,-9999.9,-100000.0
2012-03-05 01:58:00+00:00,3.0,43500.0
2012-03-05 01:59:00+00:00,3.0,43600.0
2012-03-05 02:00:00+00:00,3.2,46300.0
2012-03-05 02:01:00+00:00,3.0,46600.0
2012-03-05 02:02:00+00:00,3.7,70900.0
2012-03-05 02:03:00+00:00,3.9,90100.0
2012-03-05 02:04:00+00:00,3.2,42100.0
2012-03-05 02:05:00+00:00,2.1,13800.0
2012-03-05 02:06:00+00:00,2.5,23800.0
2012-03-05 02:07:00+00:00,2.7,46700.0
2012-03-05 02:08:00+00:00,3.0,77100.0
2012-03-05 02:09:00+00:00,3.5,58700.0
2012-03-05 02:10:00+00:00,3.1,30700.0
2012-03-05 02:11:00+00:00,2.8,33000.0
2012-03-05 02:12:00+00:00,-9999.9,-100000.0
2012-03-05 02:13:00+00:00,3.3,45000.0
2012-03-05 02:14:00+00:00,3.3,42700.0
2012-03-05 02:15:00+00:00,3.1,40300.0
2012-03-05 02:16:00+00:00,2.1,23000.0
2012-03-05 02:17:00+00:00,3.3,37600.0
2012-03-05 02:18:00+00:00,-9999.9,-100000.0
2012-03-05 02:19:00+00:00,-9999.9,-100000.0
2012-03-05 02:20:00+00:00,3.1,36000.0
2012-03-05 02:21:00+00:00,3.2,47000.0
2012-03-05 02:22:00+00:00,3.4,55800.0
2012-03-05 02:23:00+00:00,3.1,42200.0
2012-03-05 02:24:00+00:00,2.7,26900.0
2012-03-05 02:25:00+00:00,3.0,37000.0
2012-03-05 02:26:00+00:00,3.1,37200.0
2012-03-05 02:27:00+00:00,3.1,44200.0
2012-03-05 02:28:00+00:00,-9999.9,-100000.0
2012-03-05 02:29:00+00:00,3.2,35400.0
2012-03-05 02:30:00+00:00,3.5,33400.0
2012-03-05 02:31:00+00:00,3.2,30600.0
2012-03-05 02:32:00+00:00,3.6,38600.0
2012-03-05 02:33:00+00:00,3.2,32000.0
2012-03-05 02:34:00+00:00,4.0,35800.0
2012-03-05 02:35:00+00:00,2.7,21200.0
2012-03-05 02:36:00+00:00,3.5,37500.0
2012-03-05 02:37:00+00:00,3.4,39000.0
2012-03-05 02:38:00+00:00,3.2,28200.0
2012-03-05 02:39:00+00:00,3.7,39200.0
2012-03-05 02:40:00+00:00,3.4,34300.0
2012-03-05 02:41:00+00:00,2.8,31300.0
2012-03-05 02:42:00+00:00,2.9,28600.0
2012-03-05 02:43:00+00:00,3.3,32800.0
2012-03-05 02:44:00+00:00,-9999.9,-100000.0
2012-03-05 02:45:00+00:00,3.4,42400.0
2012-03-05 02:46:00+00:00,2.9,26400.0
2012-03-05 02:47:00+00:00,3.2,34500.0
2012-03-05 02:48:00+00:00,3.9,43700.0
2012-03-05 02:49:00+00:00,3.2,32400.0
2012-03-05 02:50:00+00:00,3.1,32800.0
2012-03-05 02:51:00+00:00,-9999.9,-100000.0
2012-03-05 02:52:00+00:00,-9999.9,-100000.0
2012-03-05 02:53:00+00:00,3.7,29800.0
2012-03-05 02:54:00+00:00,3.4,20500.0
2012-03-05 02:55:00+00:00,3.3,31900.0
2012-03-05 02:56:00+00:00,3.6,35200.0
2012-03-05 02:57:00+00:00,3.6,46100.0
2012-03-05 02:58:00+00:00,3.5,30300.0
2012-03-05 02:59:00+00:00,3.6,38100.0
2012-03-05 03:00:00+00:00,-9999.9,-100000.0
2012-03-05 03:01:00+00:00,3.7,37700.0
2012-03-05 03:02:00+00:00,3.5,41100.0
2012-03-05 03:03:00+00:00,3.4,39100.0
2012-03-05 03:04:00+00:00,3.3,36100.0
2012-03-05 03:05:00+00:00,2.4,27900.0
2012-03-05 03:06:00+00:00,3.2,35300.0
2012-03-05 03:07:00+00:00,3.8,87100.0
2012-03-05 03:08:00+00:00,3.5,83900.0
2012-03-05 03:09:00+00:00,2.4,37700.0
2012-03-05 03:10:00+00:00,2.4,36500.0
2012-03-05 03:11:00+00:00,2.6,43100.0
2012-03-05 03:12:00+00:00,2.4,31700.0
2012-03-05 03:13:00+00:00,1.4,21300.0
2012-03-05 03:14:00+00:00,2.6,25800.0
2012-03-05 03:15:00+00:00,2.9,36300.0
2012-03-05 03:16:00+00:00,-9999.9,-100000.0
2012-03-05 03:17:00+00:00,2.9,30400.0
2012-03-05 03:18:00+00:00,3.1,36000.0
2012-03-05 03:19:00+00:00,2.9,30600.0
2012-03-05 03:20:00+00:00,2.4,25600.0
2012-03-05 03:21:00+00:00,3.0,29900.0
2012-03-05 03:22:00+00:00,3.3,35400.0
2012-03-05 03:23:00+00:00,3.1,33700.0
2012-03-05 03:24:00+00:00,-9999.9,-100000.0
2012-03-05 03:25:00+00:00,-9999.9,-100000.0
